"lang","file","core_extended","speaker",wd_ID,wd,"start","end",mc-zero,"ref","tx","ft","mb_ID","mb","doreco-mb-algn","ps","gl","ph_ID","ph","refind","isnref"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000011,"axnu",10.205,10.695,"****","0002_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar maz̊gliʔin, sarsana axnu ʁaˁrac’an.ǯi.","One was in Mezhgul and the other was in Qaratsan.","m000019 m000020 m000021","a x nu","**** **** ****","v:pred","PFV (HSG)become PST","p000035 p000036 p000037 p000038","a x n u","****","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000012,"<p:>",10.695,11.853,"<p:>","0002_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar maz̊gliʔin, sarsana axnu ʁaˁrac’an.ǯi.","One was in Mezhgul and the other was in Qaratsan.","m000022","<p:>","<p:>","<p:>","<p:>","p000039","<p:>","<p:>","<p:>"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000013,"ʁaˁrac’anǯi",11.853,12.657,"****","0002_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar maz̊gliʔin, sarsana axnu ʁaˁrac’an.ǯi.","One was in Mezhgul and the other was in Qaratsan.","m000023","ʁaˁrac’an.ǯi","****","pn_np:l","Qaratsan(IN)","p000040 p000041 p000042 p000043 p000044 p000045 p000046 p000047 p000048","R a_?\ r a ts_> a n dZ i","0006","new"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000014,"<p:>",12.657,13.994,"<p:>","<p:>","<p:>","<p:>","m000024","<p:>","<p:>","<p:>","<p:>","p000049","<p:>","<p:>","<p:>"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000015,"maz̊gliʔin",13.994,14.614,"## _ _","0003_DoReCo_doreco_taba1259_mc_tabasaran_belt","maz̊gliʔin alir.in c̊ur vu nüraˤli, ʁaˁrac’an.ǯi ajir.in rabadan.","The name of the one from Mezhgul is Nurali, that of the one from Qaratsan is Rabadan.","m000025 m000026","maz̊gli ʔin","**** ****","ln_pn_np","Mezhgul SUPER","p000050 p000051 p000052 p000053 p000054 p000055 p000056 p000057 p000058","m a Z_w g l i ? i n","0004","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000016,"<p:>",14.614,14.694,"<p:>","0003_DoReCo_doreco_taba1259_mc_tabasaran_belt","maz̊gliʔin alir.in c̊ur vu nüraˤli, ʁaˁrac’an.ǯi ajir.in rabadan.","The name of the one from Mezhgul is Nurali, that of the one from Qaratsan is Rabadan.","m000027","<p:>","<p:>","<p:>","<p:>","p000059","<p:>","<p:>","<p:>"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000017,"<<ui>alirin>",14.694,15.394,"****","0003_DoReCo_doreco_taba1259_mc_tabasaran_belt","maz̊gliʔin alir.in c̊ur vu nüraˤli, ʁaˁrac’an.ǯi ajir.in rabadan.","The name of the one from Mezhgul is Nurali, that of the one from Qaratsan is Rabadan.","m000028","al","****","ln","(SUPER)be","p000060","<<ui>alirin>","****","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000018,"c̊ur",15.394,15.606,"****","0003_DoReCo_doreco_taba1259_mc_tabasaran_belt","maz̊gliʔin alir.in c̊ur vu nüraˤli, ʁaˁrac’an.ǯi ajir.in rabadan.","The name of the one from Mezhgul is Nurali, that of the one from Qaratsan is Rabadan.","m000029","c̊ur","****","np:s","name(ABS)","p000061 p000062 p000063","tS_w u r","****","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000019,"vu",15.606,15.781,"****","0003_DoReCo_doreco_taba1259_mc_tabasaran_belt","maz̊gliʔin alir.in c̊ur vu nüraˤli, ʁaˁrac’an.ǯi ajir.in rabadan.","The name of the one from Mezhgul is Nurali, that of the one from Qaratsan is Rabadan.","m000030","vu","****","cop","COP","p000064 p000065","v u","****","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000020,"nüraˤli",15.781,16.428,"****","0003_DoReCo_doreco_taba1259_mc_tabasaran_belt","maz̊gliʔin alir.in c̊ur vu nüraˤli, ʁaˁrac’an.ǯi ajir.in rabadan.","The name of the one from Mezhgul is Nurali, that of the one from Qaratsan is Rabadan.","m000031","nüraˤli","****","pn_np:pred","Nurali","p000066 p000067 p000068 p000069 p000070 p000071","n y r a_?\ l i","0003","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000021,"<p:>",16.428,17.134,"<p:>","0003_DoReCo_doreco_taba1259_mc_tabasaran_belt","maz̊gliʔin alir.in c̊ur vu nüraˤli, ʁaˁrac’an.ǯi ajir.in rabadan.","The name of the one from Mezhgul is Nurali, that of the one from Qaratsan is Rabadan.","m000032","<p:>","<p:>","<p:>","<p:>","p000072","<p:>","<p:>","<p:>"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000022,"ʁaˁrac’anǯi",17.134,17.724,"## _ _","0003_DoReCo_doreco_taba1259_mc_tabasaran_belt","maz̊gliʔin alir.in c̊ur vu nüraˤli, ʁaˁrac’an.ǯi ajir.in rabadan.","The name of the one from Mezhgul is Nurali, that of the one from Qaratsan is Rabadan.","m000033","ʁaˁrac’an.ǯi","****","ln_pn_np","Qaratsan(IN)","p000073 p000074 p000075 p000076 p000077 p000078 p000079 p000080 p000081","R a_?\ r a ts_> a n dZ i","0006","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000023,"<<ui>ajirin>",17.724,18.474,"****","0003_DoReCo_doreco_taba1259_mc_tabasaran_belt","maz̊gliʔin alir.in c̊ur vu nüraˤli, ʁaˁrac’an.ǯi ajir.in rabadan.","The name of the one from Mezhgul is Nurali, that of the one from Qaratsan is Rabadan.","m000034","a","****","ln","(IN)be","p000082","<<ui>ajirin>","****","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000024,"<p:>",18.474,18.674,"<p:>","0003_DoReCo_doreco_taba1259_mc_tabasaran_belt","maz̊gliʔin alir.in c̊ur vu nüraˤli, ʁaˁrac’an.ǯi ajir.in rabadan.","The name of the one from Mezhgul is Nurali, that of the one from Qaratsan is Rabadan.","m000035","<p:>","<p:>","<p:>","<p:>","p000083","<p:>","<p:>","<p:>"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000025,"rabadan",18.674,19.313,"0:s _ _","0003_DoReCo_doreco_taba1259_mc_tabasaran_belt","maz̊gliʔin alir.in c̊ur vu nüraˤli, ʁaˁrac’an.ǯi ajir.in rabadan.","The name of the one from Mezhgul is Nurali, that of the one from Qaratsan is Rabadan.","m000036","rabadan","****","pn_np:pred","Rabadan","p000084 p000085 p000086 p000087 p000088 p000089 p000090","r a b a d a n","0005","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000026,"<p:>",19.313,20.633,"<p:>","<p:>","<p:>","<p:>","m000037","<p:>","<p:>","<p:>","<p:>","p000091","<p:>","<p:>","<p:>"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000027,"murar",20.633,20.852,"## _ _","0004_DoReCo_doreco_taba1259_mc_tabasaran_belt","murar lap juk’ʷ ali dustːar vuǯi axnu.","They were very close friends.","m000038 m000039","mur ar","**** ****","dem_pro.h:s","PROX(ABS) PL","p000092 p000093 p000094 p000095 p000096","m u r a r","0002","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000028,"lap",20.852,20.995,"#rc_pc _ _ | rel_f0.h:s_cp_pc _ _","0004_DoReCo_doreco_taba1259_mc_tabasaran_belt","murar lap juk’ʷ ali dustːar vuǯi axnu.","They were very close friends.","m000040","lap","****","lv","very","p000097 p000098 p000099","l a p","****","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000029,"<<ui>>",20.995,21.303,"****","0004_DoReCo_doreco_taba1259_mc_tabasaran_belt","murar lap juk’ʷ ali dustːar vuǯi axnu.","They were very close friends.","m000041","****","****","****","****","p000100","<<ui>>","****","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000030,"juk’ʷ",21.303,21.472,"****","0004_DoReCo_doreco_taba1259_mc_tabasaran_belt","murar lap juk’ʷ ali dustːar vuǯi axnu.","They were very close friends.","m000042","juk’ʷ","****","other:lvc","heart","p000101 p000102 p000103","j u k_w_>","****","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000031,"ali",21.472,21.643,"****","0004_DoReCo_doreco_taba1259_mc_tabasaran_belt","murar lap juk’ʷ ali dustːar vuǯi axnu.","They were very close friends.","m000043 m000044","al i","**** ****","v:pred","(SUPER)be PTCP","p000104 p000105 p000106","a l i","****","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000032,"dustːar",21.643,21.913,"% _ _","0004_DoReCo_doreco_taba1259_mc_tabasaran_belt","murar lap juk’ʷ ali dustːar vuǯi axnu.","They were very close friends.","m000045 m000046","dustː ar","**** ****","np.h:pred","friend(ABS) PL","p000107 p000108 p000109 p000110 p000111 p000112","d u s t: a r","****","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000033,"vuǯi",21.913,22.143,"****","0004_DoReCo_doreco_taba1259_mc_tabasaran_belt","murar lap juk’ʷ ali dustːar vuǯi axnu.","They were very close friends.","m000047 m000048","vu ǯi","**** ****","cop","COP ICVB","p000113 p000114 p000115 p000116","v u dZ i","****","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000034,"axnu",22.143,22.603,"****","0004_DoReCo_doreco_taba1259_mc_tabasaran_belt","murar lap juk’ʷ ali dustːar vuǯi axnu.","They were very close friends.","m000049 m000050 m000051","a x nu","**** **** ****","rv_aux","PFV (HSG)become PST","p000117 p000118 p000119 p000120","a x n u","****","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000035,"<p:>",22.603,23.399,"<p:>","<p:>","<p:>","<p:>","m000052","<p:>","<p:>","<p:>","<p:>","p000121","<p:>","<p:>","<p:>"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000036,"sar",23.399,23.592,"## _ _ | #cv _ _ | 0.h:s_cv 0002 _","0005_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar sar.ixna ʁuˁri aˁri, χaˁluz̊val ap’uri, ajib paj ap’uri, huˁrmat ap’uri, sar sar.iqǯi dusri ʁuduʒ̊uri, gizaf uǯudar juk’ʷ ali dustːar vuǯi šulu.","They go to visit each other, they share what they have, they show respect, they sit and stand up together, they are very good and close friends.","m000053 m000054","sa r","**** ****","refl.h:obl","one HSG","p000122 p000123 p000124","s a r","0002","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000037,"sarixna",23.592,23.969,"****","0005_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar sar.ixna ʁuˁri aˁri, χaˁluz̊val ap’uri, ajib paj ap’uri, huˁrmat ap’uri, sar sar.iqǯi dusri ʁuduʒ̊uri, gizaf uǯudar juk’ʷ ali dustːar vuǯi šulu.","They go to visit each other, they share what they have, they show respect, they sit and stand up together, they are very good and close friends.","m000055 m000056 m000057 m000058","sa r.i x na","**** **** **** ****","rn","one HSG APUD LAT","p000125 p000126 p000127 p000128 p000129 p000130 p000131","s a r i x n a","****","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000038,"ʁuˁri",23.969,24.229,"****","0005_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar sar.ixna ʁuˁri aˁri, χaˁluz̊val ap’uri, ajib paj ap’uri, huˁrmat ap’uri, sar sar.iqǯi dusri ʁuduʒ̊uri, gizaf uǯudar juk’ʷ ali dustːar vuǯi šulu.","They go to visit each other, they share what they have, they show respect, they sit and stand up together, they are very good and close friends.","m000059 m000060","ʁuˁ ri","**** ****","v:pred","go ICVB","p000132 p000133 p000134 p000135","R u_?\ r i","****","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000039,"aˁri",24.229,24.745,"****","0005_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar sar.ixna ʁuˁri aˁri, χaˁluz̊val ap’uri, ajib paj ap’uri, huˁrmat ap’uri, sar sar.iqǯi dusri ʁuduʒ̊uri, gizaf uǯudar juk’ʷ ali dustːar vuǯi šulu.","They go to visit each other, they share what they have, they show respect, they sit and stand up together, they are very good and close friends.","m000061 m000062","aˁ ri","**** ****","rv_v","come ICVB","p000136 p000137 p000138","a_?\ r i","****","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000040,"<p:>",24.745,25.756,"<p:>","0005_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar sar.ixna ʁuˁri aˁri, χaˁluz̊val ap’uri, ajib paj ap’uri, huˁrmat ap’uri, sar sar.iqǯi dusri ʁuduʒ̊uri, gizaf uǯudar juk’ʷ ali dustːar vuǯi šulu.","They go to visit each other, they share what they have, they show respect, they sit and stand up together, they are very good and close friends.","m000063","<p:>","<p:>","<p:>","<p:>","p000139","<p:>","<p:>","<p:>"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000041,"χaˁluz̊val",25.756,26.250,"% _ _ | #cv _ _ | 0.h:a_cp_cv 0002 _","0005_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar sar.ixna ʁuˁri aˁri, χaˁluz̊val ap’uri, ajib paj ap’uri, huˁrmat ap’uri, sar sar.iqǯi dusri ʁuduʒ̊uri, gizaf uǯudar juk’ʷ ali dustːar vuǯi šulu.","They go to visit each other, they share what they have, they show respect, they sit and stand up together, they are very good and close friends.","m000064 m000065","χaˁluz̊ val","**** ****","other:lvc","host ABSTR(ABS)","p000140 p000141 p000142 p000143 p000144 p000145 p000146 p000147","X a_?\ l u Z_w v a l","****","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000042,"ap’uri",26.250,26.817,"****","0005_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar sar.ixna ʁuˁri aˁri, χaˁluz̊val ap’uri, ajib paj ap’uri, huˁrmat ap’uri, sar sar.iqǯi dusri ʁuduʒ̊uri, gizaf uǯudar juk’ʷ ali dustːar vuǯi šulu.","They go to visit each other, they share what they have, they show respect, they sit and stand up together, they are very good and close friends.","m000066 m000067","ap’u ri","**** ****","v:pred","do ICVB","p000148 p000149 p000150 p000151 p000152","a p_> u r i","****","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000043,"<p:>",26.817,27.189,"<p:>","0005_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar sar.ixna ʁuˁri aˁri, χaˁluz̊val ap’uri, ajib paj ap’uri, huˁrmat ap’uri, sar sar.iqǯi dusri ʁuduʒ̊uri, gizaf uǯudar juk’ʷ ali dustːar vuǯi šulu.","They go to visit each other, they share what they have, they show respect, they sit and stand up together, they are very good and close friends.","m000068","<p:>","<p:>","<p:>","<p:>","p000153","<p:>","<p:>","<p:>"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000044,"<<fm>značit>",27.189,27.528,"****","0005_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar sar.ixna ʁuˁri aˁri, χaˁluz̊val ap’uri, ajib paj ap’uri, huˁrmat ap’uri, sar sar.iqǯi dusri ʁuduʒ̊uri, gizaf uǯudar juk’ʷ ali dustːar vuǯi šulu.","They go to visit each other, they share what they have, they show respect, they sit and stand up together, they are very good and close friends.","m000069","****","****","****","****","p000154","<<fm>značit>","****","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000045,"ajib",27.528,27.879,"% _ _ | #cv _ _ | 0.h:a_cp_cv 0002 _","0005_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar sar.ixna ʁuˁri aˁri, χaˁluz̊val ap’uri, ajib paj ap’uri, huˁrmat ap’uri, sar sar.iqǯi dusri ʁuduʒ̊uri, gizaf uǯudar juk’ʷ ali dustːar vuǯi šulu.","They go to visit each other, they share what they have, they show respect, they sit and stand up together, they are very good and close friends.","m000070 m000071 m000072","a ji b","**** **** ****","np:p","(IN)be PTCP N(ABS)","p000155 p000156 p000157 p000158","a j i b","****","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000046,"<p:>",27.879,28.127,"<p:>","0005_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar sar.ixna ʁuˁri aˁri, χaˁluz̊val ap’uri, ajib paj ap’uri, huˁrmat ap’uri, sar sar.iqǯi dusri ʁuduʒ̊uri, gizaf uǯudar juk’ʷ ali dustːar vuǯi šulu.","They go to visit each other, they share what they have, they show respect, they sit and stand up together, they are very good and close friends.","m000073","<p:>","<p:>","<p:>","<p:>","p000159","<p:>","<p:>","<p:>"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000047,"paj",28.127,28.330,"****","0005_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar sar.ixna ʁuˁri aˁri, χaˁluz̊val ap’uri, ajib paj ap’uri, huˁrmat ap’uri, sar sar.iqǯi dusri ʁuduʒ̊uri, gizaf uǯudar juk’ʷ ali dustːar vuǯi šulu.","They go to visit each other, they share what they have, they show respect, they sit and stand up together, they are very good and close friends.","m000074","paj","****","other:lvc","part","p000160 p000161 p000162","p a j","****","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000048,"ap’uri",28.330,28.818,"****","0005_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar sar.ixna ʁuˁri aˁri, χaˁluz̊val ap’uri, ajib paj ap’uri, huˁrmat ap’uri, sar sar.iqǯi dusri ʁuduʒ̊uri, gizaf uǯudar juk’ʷ ali dustːar vuǯi šulu.","They go to visit each other, they share what they have, they show respect, they sit and stand up together, they are very good and close friends.","m000075 m000076","ap’u ri","**** ****","v:pred","do ICVB","p000163 p000164 p000165 p000166 p000167","a p_> u r i","****","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000049,"<p:>",28.818,29.299,"<p:>","0005_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar sar.ixna ʁuˁri aˁri, χaˁluz̊val ap’uri, ajib paj ap’uri, huˁrmat ap’uri, sar sar.iqǯi dusri ʁuduʒ̊uri, gizaf uǯudar juk’ʷ ali dustːar vuǯi šulu.","They go to visit each other, they share what they have, they show respect, they sit and stand up together, they are very good and close friends.","m000077","<p:>","<p:>","<p:>","<p:>","p000168","<p:>","<p:>","<p:>"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000050,"huˁrmat",29.299,29.709,"% _ _ | #cv _ _ | 0.h:a_cp_cv 0002 _","0005_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar sar.ixna ʁuˁri aˁri, χaˁluz̊val ap’uri, ajib paj ap’uri, huˁrmat ap’uri, sar sar.iqǯi dusri ʁuduʒ̊uri, gizaf uǯudar juk’ʷ ali dustːar vuǯi šulu.","They go to visit each other, they share what they have, they show respect, they sit and stand up together, they are very good and close friends.","m000078","huˁrmat","****","other:lvc","respect(ABS)","p000169 p000170 p000171 p000172 p000173 p000174","h u_?\ r m a t","****","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000051,"ap’uri",29.709,30.219,"****","0005_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar sar.ixna ʁuˁri aˁri, χaˁluz̊val ap’uri, ajib paj ap’uri, huˁrmat ap’uri, sar sar.iqǯi dusri ʁuduʒ̊uri, gizaf uǯudar juk’ʷ ali dustːar vuǯi šulu.","They go to visit each other, they share what they have, they show respect, they sit and stand up together, they are very good and close friends.","m000079 m000080","ap’u ri","**** ****","v:pred","do ICVB","p000175 p000176 p000177 p000178 p000179","a p_> u r i","****","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000052,"<p:>",30.219,30.609,"<p:>","0005_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar sar.ixna ʁuˁri aˁri, χaˁluz̊val ap’uri, ajib paj ap’uri, huˁrmat ap’uri, sar sar.iqǯi dusri ʁuduʒ̊uri, gizaf uǯudar juk’ʷ ali dustːar vuǯi šulu.","They go to visit each other, they share what they have, they show respect, they sit and stand up together, they are very good and close friends.","m000081","<p:>","<p:>","<p:>","<p:>","p000180","<p:>","<p:>","<p:>"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000053,"sar",30.609,30.769,"% _ _ | #cv _ _ | 0.h:s_cp_cv 0002 _","0005_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar sar.ixna ʁuˁri aˁri, χaˁluz̊val ap’uri, ajib paj ap’uri, huˁrmat ap’uri, sar sar.iqǯi dusri ʁuduʒ̊uri, gizaf uǯudar juk’ʷ ali dustːar vuǯi šulu.","They go to visit each other, they share what they have, they show respect, they sit and stand up together, they are very good and close friends.","m000082 m000083","sa r","**** ****","refl.h:obl","one HSG","p000181 p000182 p000183","s a r","0002","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000054,"sariqǯi",30.769,31.129,"****","0005_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar sar.ixna ʁuˁri aˁri, χaˁluz̊val ap’uri, ajib paj ap’uri, huˁrmat ap’uri, sar sar.iqǯi dusri ʁuduʒ̊uri, gizaf uǯudar juk’ʷ ali dustːar vuǯi šulu.","They go to visit each other, they share what they have, they show respect, they sit and stand up together, they are very good and close friends.","m000084 m000085 m000086 m000087","sa r.i q ǯi","**** **** **** ****","rn","one HSG POST DIR","p000184 p000185 p000186 p000187 p000188 p000189 p000190","s a r i q dZ i","****","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000055,"dusr",31.129,31.368,"****","0005_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar sar.ixna ʁuˁri aˁri, χaˁluz̊val ap’uri, ajib paj ap’uri, huˁrmat ap’uri, sar sar.iqǯi dusri ʁuduʒ̊uri, gizaf uǯudar juk’ʷ ali dustːar vuǯi šulu.","They go to visit each other, they share what they have, they show respect, they sit and stand up together, they are very good and close friends.","m000088 m000089","dus ri","**** ****","v:pred","<HSG>seat ICVB","p000191 p000192 p000193 p000194","d u s r","****","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000056,"ʁuduʒ̊uri",31.368,31.987,"****","0005_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar sar.ixna ʁuˁri aˁri, χaˁluz̊val ap’uri, ajib paj ap’uri, huˁrmat ap’uri, sar sar.iqǯi dusri ʁuduʒ̊uri, gizaf uǯudar juk’ʷ ali dustːar vuǯi šulu.","They go to visit each other, they share what they have, they show respect, they sit and stand up together, they are very good and close friends.","m000090 m000091","ʁuduʒ̊u ri","**** ****","rv_v","<HSG>stand_up ICVB","p000195 p000196 p000197 p000198 p000199 p000200 p000201 p000202","R u d u dZ_w u r i","****","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000057,"gizaf",31.987,32.429,"% _ _ | 0.h:s 0002 _ | #rc_pc _ _ | 0.h:s_cp_pc _ _","0005_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar sar.ixna ʁuˁri aˁri, χaˁluz̊val ap’uri, ajib paj ap’uri, huˁrmat ap’uri, sar sar.iqǯi dusri ʁuduʒ̊uri, gizaf uǯudar juk’ʷ ali dustːar vuǯi šulu.","They go to visit each other, they share what they have, they show respect, they sit and stand up together, they are very good and close friends.","m000092","gizaf","****","ln","many","p000203 p000204 p000205 p000206 p000207","g i z a f","****","****"
